9131	8251	317	10	27130724
9135	8067	322	10	27130724
9140	8318	323	10	27130724
9137	8155	323	10	27130724
9133	8083	289	10	27130724
9137	7911	308	10	27130724
9136	8132	281	10	27130724
9135	8135	324	10	27130724
9111	7920	306	10	27130724
9134	8208	323	10	27130724
9134	8138	311	10	27130724
9121	8109	323	10	27130724
9134	8093	324	10	27130724
9139	7964	320	10	27130724
9135	8200	326	10	27130724
9124	8228	324	10	27130724
9137	7996	319	10	27130724
9138	8191	303	10	27130724
9137	8031	318	10	27130724
9121	8012	282	11	27130724
9127	8323	330	10	27130724
9142	8080	344	10	27130724
9142	8202	330	10	27130724
9137	8102	294	10	27130724
9139	8090	315	10	27130724
9131	8153	298	10	27130724
9117	8099	300	10	27130724
9134	8251	311	10	27130724
9135	8143	327	10	27130724
9130	8201	318	10	27130724
9119	8199	300	10	27130724
9139	8033	312	10	27130724
9140	8084	307	11	27130724
9136	8158	311	10	27130724
9136	8317	306	10	27130724
9139	8182	353	10	27130724
9126	8082	297	10	27130724
9140	8195	357	10	27130724
9137	8204	326	10	27130724
9130	8323	331	10	27130724
9129	8126	318	10	27130724
9116	8246	331	10	27130724
9124	8186	308	10	27130724
9120	8151	295	10	27130724
9140	8139	357	10	27130724
9133	8223	312	10	27130724
9129	8227	329	10	27130724
9130	8095	327	10	27130724
9137	8058	294	10	27130724
9139	8093	359	10	27130724
9140	8194	306	10	27130724
9136	8240	348	10	27130724
9137	8254	366	10	27130724
9134	8044	314	10	27130724
9131	8180	288	10	27130724
9123	8149	305	10	27130724
9136	8170	293	10	27130724
9139	8111	319	10	27130724
9125	8231	317	10	27130724
9137	8081	314	10	27130724
9123	7961	292	10	27130724
9139	8202	293	10	27130724
9130	8050	288	10	27130724
9121	8079	329	10	27130724
9135	8048	292	10	27130724
9124	8051	308	10	27130724
9135	8167	320	10	27130724
9134	8056	333	10	27130724
9137	8193	309	10	27130724
9142	7995	316	10	27130724
9133	8198	315	10	27130724
9131	8148	304	10	27130724
9131	8072	285	10	27130724
9129	8130	315	10	27130724
9138	8197	301	10	27130724
9136	8215	304	10	27130724
9131	8032	307	10	27130724
9126	8142	291	10	27130724
9131	8228	305	10	27130724
9117	8247	260	10	27130724
9137	8051	295	10	27130724
9136	8254	313	10	27130724
9138	8314	345	10	27130724
9120	8058	311	10	27130724
9135	8057	311	10	27130724
9135	8292	358	10	27130724
9134	8153	322	10	27130724
9140	8025	324	10	27130724
9139	8233	317	10	27130724
9137	8156	339	10	27130724
9136	8174	297	10	27130724
9119	8150	279	10	27130724
9133	8166	324	10	27130724
9137	7962	321	10	27130724
9139	8067	325	10	27130724
9135	8061	313	10	27130724
9130	8101	345	10	27130724
9132	8103	303	10	27130724
9132	8067	314	10	27130724
9141	8072	311	10	27130724
9141	8260	340	10	27130724
9132	8266	323	10	27130724
9129	8200	311	10	27130724
9124	8129	300	10	27130724
9126	8178	330	10	27130724
9135	8168	280	10	27130724
9125	8168	307	10	27130724
9134	8189	322	10	27130724
9132	8054	339	10	27130724
9136	8053	313	10	27130724
9136	7984	324	10	27130724
9132	8236	305	10	27130724
9140	8182	324	10	27130724
9125	8180	326	10	27130724
9120	7937	296	10	27130724
9130	8185	307	10	27130724
9131	8345	287	10	27130724
9132	8211	328	10	27130724
9120	8029	312	10	27130724
9126	8060	300	10	27130724
9129	8234	310	10	27130724
